"Title","Description","Keywords","Publisher","Bureau Code","Program Code","Contact Name","Contact Email","Unique Identifier","Public Access Level","Access Level Comment","Format","Access URL","Last Update","License"
"Aquifers","This map layer contains the shallowest principal aquifers of the conterminous United States, Hawaii, Puerto Rico, and the U.S. Virgin Islands, portrayed as polygons. The map layer was developed as part of the effort to produce the maps published at 1:2,500,000 in the printed series ""Ground Water Atlas of the United States"". The published maps contain base and cultural features not included in these data. This is a replacement for the July 1998 map layer called Principal Aquifers of the 48 Conterminous United States."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2514","public","Continental United States, Hawaii, Puerto Rico, U.S. Virgin Islands","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Area Code Boundaries","The HSIP Area Code Boundaries 2007 Q4 dataset represents the geographic telephone area codes, also known as Numbering Plan Areas (NPAs), for the North American Numbering Plan (NANP) area which includes the following countriesthe United States and its territories and possessions, Canada, Bermuda, Anguilla, Antigua & Barbuda, the Bahamas, Barbados, the British Virgin Islands, the Cayman Islands, Dominica, the Dominican Republic, Grenada, Jamaica, Montserrat, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, Trinidad and Tobago, and Turks & Caicos. Excluded from this dataset are area codes considered to be non-geographic NPAs (area codes designating a specific service rather than a specific geographic area), such as toll-free area codes which encompass the entire NANP area. These area codes are in a separate dataset called HSIP Toll Free Area Codes 2007 Q4 due to the magnitude of the shapes' sizes, which when included in this dataset excessively retards the refresh rate making the dataset a cumbersome tool to use during the processing of other datasets."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2515","public","United States, Canada, Puerto Rico, U.S. Virgin Islands, Guam, American Samoa, Northern Marianas","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Automatic Traffic Recorder (ATR) Stations","The data included in the GIS Traffic Stations Version database have been assimilated from station description files provided by FHWA for Weigh-in-Motion (WIM), and Automatic Traffic Counters (ATR). Location referencing information was derived from the National Highway Planning Network version 4.0. and State offices of Transportation The attributes on the point elements of the database have come from two primary sources, the Station Description Records and the National Highway Planning Network's Linear Referencing System. The attributes for these databases have been intentionally limited to location referencing attributes since the core station description attribute data are contained within the Station Description Tables (SDT). There is a separate Station Description Table (SDT) for each of the different station types; WIM, and ATR. The attributes in the Station Description Table correspond with the Station Description Record found in Chapter 6 of the latest Traffic Monitoring Guide. The SDT contains the most recent stations available for each state and station type. This table was derived from files provided UTCTR by FHWA. The Station Description Table can be linked to the station shapefile via the STNNKEY field . A single exception table containing records for those stations that could not be located is provided for WIM, and ATR stations. Generally, this table contains records where location descriptions were not clear enough to locate a station. It is hoped that FHWA will be able to contact the States for a more detailed description"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2516","public","Continental United States, Alaska & Hawaii","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Aviation Assets","Portfolio of DHS Aircraft Assets by Component Including (but no limited to) the following attributes: Acquisition Cost, Capitalized Cost, Aircraft Type, Model, Operational Status, Aircraft Range, Hangar Location,  Dispositions, and Exchange/Sales
"," inventory management, performance,operational","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6358","public","-","-","https://prod.bi.dhs.gov/analytics/saw.dll?Dashboard","08/07/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Base Flood Elevation (BFE) Lines","The Base Flood Elevation (BFE) table is required for any digital data where BFE lines will be shown on the corresponding Flood Insurance Rate Map (FIRM). Normally if there are any riverine AE zones, BFE lines are required. The S_BFE table contains information about the BFEs within a study area. A spatial file with locational information also corresponds with this data table. BFE lines indicate the rounded whole-foot water surface elevation of the 1-percent-annual-chance flood. The spatial elements representing BFE features are lines extending from Special Flood Hazard Area (SFHA) boundary to SFHA boundary. The BFE lines will have no visible gaps or overshoots between the SFHA boundary and the end of the BFE line at the publication scale of the DFIRM. However, the ends of the BFE lines are not necessarily snapped precisely to the SFHA boundary. Each BFE is represented by a single line. While BFE lines are depicted as wavy lines on the hardcopy FIRM, they should be primarily straight lines in the spatial data, although they may bend consistent with procedures described in Volume 1 of these Guidelines. This is a Standard DFIRM Database table. More information can be found in the document ""Guidelines and Specifications for Flood Hazard Mapping Partners Appendix LGuidance for Preparing Draft Digital Data and DFIRM Database"" located on this disk."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2517","public","Continental United States, Alaska, Hawaii, Puerto Rico, U.S. Virgin Islands, Guam, American Samoa, Northern Marianas","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Bathymetry Contours","Coastal bathymetric depth, measured in meters at depth values of-10, -20, -30, -40, -50, -60, -70, -80, -90, -100, -150 -200, -400, -600"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2518","public","Continental United States, Alaska, Hawaii, Puerto Rico & Surrounding Oceans","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Boating Accident Statistics ","Accident statistics available on the Coast Guard’s website by state, year, and one variable to obtain tables and/or graphs. Data from reports has been loaded for years 2005-2013. Data represents information submitted from the 56 reporting jurisdictions - 50 states and US territories."," Accidents, Injury, Regulations, Safety, Statistics, Vessel,Boating","Coast Guard, United States","024:60","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","1544","public","-","-","http://www.uscgboating.org/statistics/accident_statistics.php","05/22/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Boating Equipment Recalls","Data includes boating equipment recalls by Manufacturers Identification Code (MIC) Company, model name, recall number, model, and model year"," Model, Model Year, Recall, Regulations, Safety, Vessel,Boating","Coast Guard, United States","024:60","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","1324","public","-","-","http://uscgboating.org/content/recalls.php","05/11/2015","http://www.usa.gov/publicdomain/label/1.0/"
"Bridge Areas - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2519","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Broadband Radio Service (BRS) and Educational Broadband Service (EBS) Transmitters","The Broadband Radio Service (BRS), formerly known as the Multipoint Distribution Service (MDS)/Multichannel Multipoint Distribution Service (MMDS), is a commercial service. In the past, it was generally used for the transmission of data and video programming to subscribers using high-powered systems, also known as wireless cable. However, over the years, the uses have evolved to include digital two-way systems capable of providing high-speed, high-capacity broadband service, including two-way Internet service via cellularized communication systems. Such services provide consumers integrated access to voice, high-speed data, video-on-demand, and interactive delivery services from a wireless device. The Educational Broadband Service (EBS), formerly known as the Instructional Television Fixed Service (ITFS), is an educational service that has generally been used for the transmission of instructional material to accredited educational institutions and non-educational institutions such as hospitals, nursing homes, training centers, and rehabilitation centers using high-powered systems. Our recent revamping of the EBS spectrum will now make it possible for EBS users to continue their instructional services utilizing low-power broadband systems while also providing students with high-speed internet access."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2520","public","United States, Puerto Rico, U.S. Virgin Islands, American Samoa","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Building Areas - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2521","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Building Locations - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2496","public","Selected Continental United States (lower Mississippi, St. Louis area)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Built Up Areas - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2497","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Canada and Mexico Border Crossings","Border Crossing Ports are points of entry for land modes along the U.S. - Canadian and U.S.- Mexcian borders. The ports of entry are located in 15 states along the U.S. borders. The nominal scale of the data set is 1:1000,000 with a maximal positional error of +- 10 meters."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2498","public","United States, Canada & Mexico","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Canada and U.S. Border"," This data is from Digital International Boundaries Database (DIBDB), and was build from the coordinate survey trig list. The DIBDB is NGA's official boundaries database and contains boundaries that have been approved and authorized by the Department of State (DoS). DIBDB contains International, 1st, 2nd, and 3rd order boundaries. The DIBDB is the official repository of boundary data collected in cooperation and consultation with the NGA Geographer and Department of State."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2499","public","United States & Canada","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Canal Areas - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2500","public","Selected Continental United States (2 locations in different areas of the Mississippi valley)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Canal Lines - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2501","public","Selected Continental United States (1 isolated ditch near Missouri River valley.","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Cargo Quantity Reporting","Provides entities that perform air cargo screening with the capability to enter and report the amount of air cargo they tendered to an air carrier, the amount screened, and the amount the air carrier uplifted.  This information enables TSA to audit and verify compliance with the 100% screening mandate in the Implementing Recommendations of the 9/11 Commission Act of 2007"," Air Carrier Compliance Reporting, CCSF Compliance Reporting, CRT, Cargo, Cargo Reporting Tool, Compliance, FAS, Freight Assessment Tool,Screening","Transportation Security Administration","024:56","024:024, 024:025","Open Data (MGMT)","edmo@hq.dhs.gov","202","public","-","-","https://www.tsa.gov/for-industry/cargo-programs","11/17/2015","http://www.usa.gov/publicdomain/label/1.0/"
"Catholic Churches","Catholic Churches"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6615","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/21/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Caution Area Locations - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2538","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Caution Areas - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2539","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"CBP Active Dumping and Active Countervailing (AD/CVD) Cases","The datasets provide information from CBP's reference files on active anti-dumping and active countervailing cases.  This data includes associated case numbers (if any), ISO country code, tariff number and short descriptions of the case.  
"," AD/CVD SR, Anti-Dumping Countervailing Duty Search, Communication, Countervailing, Documentation, Duty, Implication, Job, Meaning, Memo, Message, Obligation, Point, Responsibility, Task, Undertaking,Anti-Dumping","U.S. Customs and Border Protection","024:54","024:043","Open Data (MGMT)","edmo@hq.dhs.gov","1916","public","-","-","http://www.cbp.gov/trade/priority-issues/adcvd/data","05/11/2015","http://www.usa.gov/publicdomain/label/1.0/"
"CBP Border Wait Times","Estimated wait times for northern and southern border crossings."," Boarders, Border Crossing, CBP BWT, Current Wait Time, Customs and Border Protection - Border Wait Times, Status, Wait Time,Estimated Wait Time","U.S. Customs and Border Protection","024:54","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","1527","public","Available on the Internet - •	Border Wait Times does provide Machine Readable formats of XML and RSS data in addition to the HTML website","-","http://apps.cbp.gov/bwt/","10/14/2016","http://www.usa.gov/publicdomain/label/1.0/"
"CBP Corporate Data Dictionary (CDD)","Contains the Terms, Acronyms, Definitions, and Class words that are considered the ""standards"" used for naming conventions within CBP Data Models."," acronyms, definitions, dictionary, glossary,terms","U.S. Customs and Border Protection","024:54","024:043, 024:044","Open Data (MGMT)","edmo@hq.dhs.gov","6896","non-public","Only use internal to CBP","-","-","08/08/2017","http://www.usa.gov/publicdomain/label/1.0/"
"CBP Customs Rulings Online Search System (CROSS)","CROSS is a searchable database of CBP rulings that can be retrieved based on simple or complex search characteristics using keywords and Boolean operators. CROSS has the added functionality of CROSS referencing rulings from the initial search result set with their modified, revoked or referenced counterparts. Rulings collections are separated into Headquarters and New York."," CROSS, Customs Rulings Online Search System, Decision, Directive, Guideline, Instruction, Judgment, NCSD, Parameter, Rule, Ruling, Trade Community, Verdict,Regulation","U.S. Customs and Border Protection","024:54","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","1487","public","-","-","http://rulings.cbp.gov/","10/14/2016","http://www.usa.gov/publicdomain/label/1.0/"
