OBJECTID_1,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,PORT_TYPE,BORDPATSEC,CONTACT,FAX_NUMBER,HOURS_OPER,REMARK,RULEID,OBJECTID
28,27,"LITTLE ROCK/LITTLE ROCK NORTH PORT OF ENTRY, ADAMS FIELD AIRPORT",501-324-5289,1100 TEMPLE STREET,AIR CARGO BUILDING,LITTLE ROCK,AR,72202,3300,PULASKI,05119, , , , ,2009-12-29T00:00:00.000Z,PHONE,2009-12-29T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,126848424,-92.2172093,34.7335289,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,501-324-5798,8:00 AM - 5:00 PM, ,1,18
29,28,"WEST PALM BEACH PORT OF ENTRY, SAINT LUCIE COUNTY INTERNATIONAL AIRPORT",772-461-1733,2990 CURTIS KING BOULEVARD,GENERAL AVIATION BUILDING,FORT PIERCE,FL,34946,9101,ST LUCIE,12111, , , , ,2009-12-18T00:00:00.000Z,PHONE,2009-12-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,117117734,-80.3656264,27.4882758,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, , , , , ,0,0
30,29,"OMAHA PORT OF ENTRY, EPPLEY AIRFIELD",402-341-0240,5229 BOEING COURT,BUILDING 4310,OMAHA,NE,68110,2661,DOUGLAS,31055, , , , ,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,42297997,-95.9043917,41.306657,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,402-341-2117,8:00 AM - 4:30 PM, ,1,119
31,30,"NATRONA COUNTY AIRPORT PORT OF ENTRY, CASPER/NATRONA COUNTY INTERNATIONAL AIRPORT",307-797-2097,8500 AIRPORT PARKWAY,SUITE 217,CASPER,WY,82604,1324,NATRONA,56025, , , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,706795841,-106.464594,42.8970926,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, , , , , ,0,0
32,31,"CRUZ BAY-SAINT JOHN PORT OF ENTRY, CRUZ BAY DOCK",340-776-6741,STRAND STREET,CRUZ BAY CUSTOMS HOUSE,SAINT JOHN,VI,00830, ,ST JOHN ISLAND,78020, , , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,120282980,-64.7953529,18.3312728,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, , , , , ,0,0
33,32,"GRAND PORTAGE PORT OF ENTRY, GRAND MARAIS COOK COUNTY AIRPORT",218-475-2244,123 AIRPORT ROAD, ,GRAND MARAIS,MN,55604,2304,COOK,27031,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.", , , ,2010-01-08T00:00:00.000Z,PHONE,2010-01-08T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,100866387,-90.3842657,47.836083,NAVTEQ,2009Q2,ONENTITY,NO,TGS,AIRPORT, , , , , ,0,0
34,33,"CHARLOTTE AMALIE AREA PORT OF SAINT THOMAS PORT OF ENTRY, PORT OF CHARLOTTE AMALIE",340-774-2510,VETERANS DRIVE, ,CHARLOTTE AMALIE,VI,00802, ,ST THOMAS ISLAND,78030, , , , ,2010-01-07T00:00:00.000Z,PHONE,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,120281292,-64.9388754,18.3387104,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, , , , , ,0,0
35,34,"HILO PORT OF ENTRY, PORT OF HILO",808-933-6975,29 KUHIO STREET, ,HILO,HI,96720,4726,HAWAII,15001, , , , ,2009-12-30T00:00:00.000Z,PHONE,2010-01-06T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,115757401,-155.0543369,19.7280577,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, , , , , ,0,0
36,35,"BRUNSWICK PORT OF ENTRY, PORT OF BRUNSWICK",912-262-6692,100 GLOUCESTER STREET, ,BRUNSWICK,GA,31520,7000,GLYNN,13127, , , , ,2010-01-07T00:00:00.000Z,PHONE,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,104838358,-81.4975994,31.1480432,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT, ,PORT DIRECTOR,912-262-0235,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,59
37,36,"SUMAS PORT OF ENTRY, PORT OF FRIDAY HARBOR",360-378-2080,271 FRONT STREET NORTH, ,FRIDAY HARBOR,WA,98250, ,SAN JUAN,53055, , , , ,2010-01-12T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,119677501,-123.0177123,48.5369093,NAVTEQ,2009Q2,ONENTITY, ,TGS,WATER PORT, , , , , ,0,0
38,37,"EAGLE PASS PORT OF ENTRY, MAVERICK COUNTY MEMORIAL INTERNATIONAL AIRPORT",830-758-5427,1814 INDUSTRIAL BOULEVARD, ,EAGLE PASS,TX,78852,5279,MAVERICK,48323,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.", , , ,2010-01-12T00:00:00.000Z,PHONE,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,97168919,-100.5254207,28.861555,NAVTEQ,2009Q2,ONENTITY, ,TGS,WATER PORT, , , , , ,0,0
39,38,"WILMINGTON PORT OF ENTRY, DOVER AIR FORCE BASE-DOD",302-677-4098,LA JES STREET, ,DOVER AIR FORCE BASE,DE,19902, ,KENT,10001, , , , ,2010-01-12T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,87953943,-75.4691421,39.1241627,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
40,39,"BELFAST PORT OF ENTRY, BELFAST HARBOR",207-338-3954,1 FRANKLIN STREET, ,BELFAST,ME,04915,6518,WALDO,23027, , , , ,2010-01-12T00:00:00.000Z,PHONE,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,90023169,-69.0078076,44.4252479,NAVTEQ,2009Q2,ONENTITY, ,TGS,WATER PORT, ,PORT DIRECTOR,207-338-3954,8:00 AM - 5:00 PM, ,1,94
41,40,"COLUMBUS PORT OF ENTRY / SANTA TERESA PORT OF ENTRY, DONA ANA COUNTY AIRPORT AT SANTA TERESA",575-589-9354,8000 AIRPORT ROAD, ,SANTA TERESA,NM,88008,9719,DONA ANA,35013,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.", , , ,2010-01-12T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,716720540,-106.7009444,31.8758584,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
42,41,"DETROIT METROPOLITAN AIRPORT PORT OF ENTRY, DETROIT METROPOLITAN WAYNE COUNTY AIRPORT",734-941-6180,2596 WORLDGATEWAY PLACE,EDWARD H MCNAMARA TERMINAL,DETROIT,MI,48242,6284,WAYNE,26163, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,123189359,-83.3286657,42.2268184,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR, , , ,1,207
43,42,"FORT MYERS PORT OF ENTRY, SOUTHWEST FLORIDA INTERNATIONAL AIRPORT",239-561-6205,11000 TERMINAL ACCESS ROAD,SUITE 8636,FORT MYERS,FL,33913,8211,LEE,12071, , , , ,2009-09-15T00:00:00.000Z,ALT REF,2009-09-21T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,127647427,-81.7553074,26.528008,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,941-561-6218,8:30 AM - 5:00 PM,1-877-CUSTOMS,1,41
44,43,"VICKSBURG PORT OF ENTRY, JACKSON-EVERS INTERNATIONAL AIRPORT",601-932-3324,710 AIRPORT ROAD,"BAY 15, SUITE A",FLOWOOD,MS,39232,3002,RANKIN,28121, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-21T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,114378824,-90.0750946,32.3101422,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,606-932-4114,8:00 AM - 4:00 PM, ,1,107
45,44,"LOS ANGELES INTERNATIONAL AIRPORT PORT OF ENTRY, LOS ANGELES INTERNATIONAL AIRPORT",310-215-2618,11099 SOUTH LA CIENEGA BOULEVARD, ,LOS ANGELES,CA,90045,6143,LOS ANGELES,06037, , , , ,2009-09-16T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,126490044,-118.3710194,33.9355004,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,310-215-2013,8:00 AM - 4:30 PM, ,1,25
